date,absorption_units_12_mo,demand_units,inventory_units,net_delivered_units_12_mo,horizon,market,date_calculated,slice
2020-03-31,7907.0,86858.65625,99115.0,7914.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class A
2021-03-31,11265.0,98123.7734375,111650.0,12535.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class A
2022-03-31,9608.0,107731.6171875,116247.0,4597.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class A
2023-03-31,4430.0,112161.40625,126801.0,10554.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class A
2024-03-31,9517.0,121679.3828125,141706.0,14905.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class A
2025-03-31,12197.099609375,131326.296875,150865.0,12210.7667,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class A
2020-03-31,1312.0,215957.25,234482.0,2725.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class B
2021-03-31,7539.0,223495.3125,236834.0,2352.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class B
2022-03-31,829.0,224325.09375,239425.0,2591.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class B
2023-03-31,-1849.0,222476.796875,245093.0,5668.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class B
2024-03-31,2432.0,224909.25,254063.0,8970.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class B
2025-03-31,8987.2998046875,232861.421875,264349.0,12302.4667,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class B
2020-03-31,-264.0,105949.203125,115580.0,-138.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class C
2021-03-31,1738.0,107686.671875,115466.0,-114.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class C
2022-03-31,-215.0,107471.1875,115220.0,-246.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class C
2023-03-31,-3184.0,104290.6640625,115233.0,13.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class C
2024-03-31,-2206.0,102088.515625,115272.0,39.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class C
2025-03-31,-560.066650390625,101440.234375,115272.0,121.8,5 Yrs (2020-2025),"Atlanta,Georgia",2020-03-31,Class C
2020-03-31,5027.0,61561.609375,70347.0,7753.0,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class A
2021-03-31,6449.0,68010.375,76470.0,6123.0,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class A
2022-03-31,8385.0,76395.5625,84131.0,7661.0,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class A
2023-03-31,4085.0,80480.4375,88868.0,4737.0,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class A
2024-03-31,3873.0,84353.4140625,99771.0,10903.0,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class A
2025-03-31,10145.966796875,92845.9140625,110078.0,14633.8,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class A
2020-03-31,2841.0,107944.859375,117360.0,3312.0,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class B
2021-03-31,3773.0,111716.890625,122308.0,4948.0,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class B
2022-03-31,7379.0,119091.515625,128156.0,5848.0,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class B
2023-03-31,2850.0,121940.25,136339.0,8183.0,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class B
2024-03-31,8061.0,130001.0234375,151941.0,15602.0,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class B
2025-03-31,12162.5,139422.375,164734.0,16975.7667,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class B
2020-03-31,-376.0,39760.8125,42565.0,-52.0,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class C
2021-03-31,-549.0,39212.71875,42859.0,294.0,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class C
2022-03-31,1381.0,40592.34375,43079.0,220.0,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class C
2023-03-31,-1035.0,39560.1171875,43136.0,57.0,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class C
2024-03-31,-940.0,38622.28125,43265.0,129.0,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class C
2025-03-31,-613.866638183594,38215.8984375,43271.0,-8.5,5 Yrs (2020-2025),"Austin,Texas",2020-03-31,Class C
2020-03-31,1900.0,27514.7265625,31756.0,2918.0,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class A
2021-03-31,3319.0,30821.294921875,34153.0,2397.0,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class A
2022-03-31,1831.0,32652.681640625,34566.0,413.0,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class A
2023-03-31,152.0,32804.9375,36307.0,1741.0,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class A
2024-03-31,2124.0,34929.3359375,39289.0,2982.0,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class A
2025-03-31,2195.36669921875,36584.44921875,41159.0,2648.1667,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class A
2020-03-31,749.0,76182.8046875,80874.0,757.0,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class B
2021-03-31,2135.0,78315.0078125,81501.0,625.0,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class B
2022-03-31,362.0,78675.5234375,82042.0,541.0,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class B
2023-03-31,-1318.0,77351.3359375,82146.0,104.0,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class B
2024-03-31,773.0,78120.1796875,83087.0,941.0,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class B
2025-03-31,1320.93334960938,78974.8671875,84191.0,1413.3333,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class B
2020-03-31,693.0,84745.171875,89129.0,43.0,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class C
2021-03-31,1243.0,85985.9921875,89129.0,0.0,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class C
2022-03-31,-380.0,85604.0390625,89128.0,-1.0,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class C
2023-03-31,-2548.0,83054.7109375,88828.0,-300.0,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class C
2024-03-31,-57.0,82998.359375,88828.0,0.0,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class C
2025-03-31,-432.266662597656,82703.4921875,88828.0,0.0,5 Yrs (2020-2025),"Baltimore,Maryland",2020-03-31,Class C
2020-03-31,-1.0,4610.4638671875,5183.0,79.0,5 Yrs (2020-2025),"Birmingham,Alabama",2020-03-31,Class A
2021-03-31,146.0,4755.1162109375,5501.0,318.0,5 Yrs (2020-2025),"Birmingham,Alabama",2020-03-31,Class A
2022-03-31,292.0,5046.75537109375,6015.0,514.0,5 Yrs (2020-2025),"Birmingham,Alabama",2020-03-31,Class A
2023-03-31,196.0,5242.18212890625,6289.0,274.0,5 Yrs (2020-2025),"Birmingham,Alabama",2020-03-31,Class A
2024-03-31,585.0,5826.98876953125,7236.0,947.0,5 Yrs (2020-2025),"Birmingham,Alabama",2020-03-31,Class A
2025-03-31,798.966674804688,6477.31005859375,7584.0,464.0,5 Yrs (2020-2025),"Birmingham,Alabama",2020-03-31,Class A
2020-03-31,240.0,26955.8984375,29283.0,119.0,5 Yrs (2020-2025),"Birmingham,Alabama",2020-03-31,Class B
